countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.676,
AGO,Angola,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.536,
ALB,Albania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.131,
ARE,United Arab Emirates,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.039,
ARG,Argentina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.283,
ARM,Armenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.216,
AUS,Australia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.079,
AUT,Austria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.052,
AZE,Azerbaijan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.314,
BDI,Burundi,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.501,
BEL,Belgium,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.047,
BEN,Benin,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.636,
BFA,Burkina Faso,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.571,
BGD,Bangladesh,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.52,
BGR,Bulgaria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.205,
BHR,Bahrain,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.191,
BHS,Bahamas,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.335,
BIH,Bosnia and Herzegovina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.153,
BLR,Belarus,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.096,
BLZ,Belize,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.461,
BOL,Bolivia (Plurinational State of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.429,
BRA,Brazil,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.398,
BRB,Barbados,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.316,
BRN,Brunei Darussalam,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.286,
BTN,Bhutan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.265,
BWA,Botswana,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.466,
CAN,Canada,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.072,
CHE,Switzerland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.016,
CHL,Chile,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.195,
CHN,China,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.159,
CIV,Côte d'Ivoire,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.605,
CMR,Cameroon,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.567,
COD,Congo (Democratic Republic of the),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.618,
COG,Congo,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.593,
COL,Colombia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.411,
COM,Comoros,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.575,
CPV,Cabo Verde,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.337,
CRI,Costa Rica,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.234,
CUB,Cuba,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.304,
CYP,Cyprus,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.235,
CZE,Czechia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.124,
DEU,Germany,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.076,
DJI,Djibouti,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.492,
DNK,Denmark,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.016,
DOM,Dominican Republic,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.437,
DZA,Algeria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.385,
ECU,Ecuador,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.388,
EGY,Egypt,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.424,
ESP,Spain,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.055,
EST,Estonia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.089,
ETH,Ethiopia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.509,
FIN,Finland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.031,
FJI,Fiji,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.317,
FRA,France,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.061,
GAB,Gabon,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.527,
GBR,United Kingdom,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.105,
GEO,Georgia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.296,
GHA,Ghana,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.525,
GIN,Guinea,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.631,
GMB,Gambia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.586,
GNB,Guinea-Bissau,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.622,
GRC,Greece,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.122,
GRD,Grenada,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.212,
